,ParticipantID,index,Size,Material,Mass,Random,Theorist
0,1269,80,-16.829691269258042,-23.215328234339605,-17.780708709882596,-12.875503299472802,Random
1,1219,51,-18.200339092897032,-12.683303617450404,-9.058131470998585,-12.875503299472802,Mass
2,1271,81,-26.776172028219023,-13.247815607830086,-16.5002140122493,-12.875503299472802,Random
3,1251,70,-7.3280163319576825,-37.26801343902162,-14.65062997989077,-12.875503299472802,Size
4,1272,82,-35.7975194821088,-53.21544981510502,-51.05266872266871,-12.875503299472802,Random
5,1187,37,-7.848947901626566,-21.590724419685404,-13.109728335708693,-12.875503299472802,Size
